# up-key-pressed, down-key-pressed, elapsed-time
1.000000,0.000000,0.000708
1.000000,0.000000,0.000745
1.000000,1.000000,0.000782
1.000000,1.000000,0.000814
1.000000,0.000000,0.000852
1.000000,0.000000,0.000889
1.000000,0.000000,0.000921
1.000000,0.000000,0.000958
1.000000,0.000000,0.000990
1.000000,0.000000,0.001027
1.000000,1.000000,0.001064
1.000000,0.000000,0.001097
1.000000,0.000000,0.001134
1.000000,0.000000,0.001166
1.000000,0.000000,0.001203
1.000000,0.000000,0.001240
0.000000,0.000000,0.001273
0.000000,1.000000,0.001310
0.000000,1.000000,0.001342
0.000000,1.000000,0.001379
0.000000,0.000000,0.001416
0.000000,1.000000,0.001448
0.000000,0.000000,0.001485
0.000000,0.000000,0.001518
0.000000,0.000000,0.001555
1.000000,0.000000,0.001592
1.000000,0.000000,0.001624
0.000000,0.000000,0.001662
0.000000,1.000000,0.001694
0.000000,0.000000,0.001731
0.000000,0.000000,0.001768
0.000000,0.000000,0.001800
1.000000,0.000000,0.001837
1.000000,0.000000,0.001870
1.000000,0.000000,0.001907
0.000000,0.000000,0.001939
0.000000,1.000000,0.001976
0.000000,1.000000,0.002013
0.000000,0.000000,0.002046
0.000000,1.000000,0.002083
0.000000,0.000000,0.002115
0.000000,0.000000,0.002152
0.000000,0.000000,0.002189
0.000000,1.000000,0.002222
0.000000,0.000000,0.002259
1.000000,0.000000,0.002292
1.000000,0.000000,0.002328
1.000000,0.000000,0.002365
1.000000,0.000000,0.002398
1.000000,0.000000,0.002432
